OID_,Id,FID_From,FID_To,PathID
0,0,8192,6786,0
1,0,8193,6314,0
2,0,8194,6736,0
3,0,8195,3740,0
4,0,8196,3562,0
5,0,8197,6730,0
6,0,8198,6849,0
7,0,8199,3555,0
8,0,8200,2942,0
9,0,8201,2840,0
10,0,8202,4477,0
11,0,8203,5942,0
12,0,8204,5256,0
13,0,8205,2762,0
14,0,8206,2764,0
15,0,8207,4401,0
16,0,8208,110,0
17,0,8209,3745,0
18,0,8210,5584,0
19,0,8211,2339,0
20,0,8212,3017,0
21,0,8213,5122,0
22,0,8214,5176,0
23,0,8215,38,0
24,0,8216,5006,0
25,0,8217,4087,0
26,0,8218,2521,0
27,0,8219,4480,0
28,0,8220,2271,0
29,0,8221,5168,0
30,0,8222,4678,0
31,0,8223,2291,0
32,0,8224,4625,0
33,0,8225,4503,0
34,0,8226,2920,0
35,0,8227,2921,0
36,0,8228,4627,0
37,0,8229,5604,0
38,0,8230,5492,0
39,0,8231,3528,0
40,0,8232,2535,0
41,0,8233,6224,0
42,0,8234,5768,0
43,0,8235,3010,0
44,0,8236,5769,0
45,0,8237,5891,0
46,0,8238,5714,0
47,0,8239,2489,0
48,0,8240,2445,0
49,0,8241,2870,0
50,0,8242,2599,0
51,0,8243,4146,0
52,0,8244,3444,0
53,0,8246,5278,0
54,0,8247,6914,0
55,0,8248,4205,0
56,0,8249,4384,0
57,0,8250,6805,0
58,0,8251,4180,0
59,0,8252,4617,0
60,0,8253,3984,0
61,0,8254,3984,0
62,0,8256,4010,0
63,0,8257,6784,0
64,0,8258,6731,0
65,0,8259,3714,0
66,0,8260,5622,0
67,0,8261,4665,0
68,0,8262,4275,0
69,0,8263,5618,0
70,0,8264,6247,0
71,0,8265,6536,0
72,0,8266,5558,0
73,0,8267,4988,0
74,0,8268,6018,0
75,0,8269,6042,0
76,0,8270,4538,0
77,0,8271,4008,0
78,0,8272,5990,0
79,0,8273,6311,0
80,0,8274,6160,0
81,0,8275,6820,0
82,0,8276,3881,0
83,0,8277,5070,0
84,0,8278,2985,0
85,0,8279,3695,0
86,0,8280,2473,0
87,0,8281,4406,0
88,0,8282,3877,0
89,0,8283,3244,0
90,0,8284,3078,0
91,0,8285,3744,0
92,0,8287,6275,0
93,0,8288,3555,0
94,0,8289,2941,0
95,0,8290,4389,0
96,0,8291,4760,0
97,0,8292,6240,0
98,0,8293,4885,0
99,0,8294,6507,0
100,0,8295,3036,0
101,0,8296,2386,0
102,0,8297,4582,0
103,0,8298,6273,0
104,0,8299,5041,0
105,0,8300,5212,0
106,0,8301,5551,0
107,0,8302,4771,0
108,0,8303,2908,0
109,0,8304,5658,0
110,0,8305,4986,0
111,0,8306,3280,0
112,0,8307,2527,0
113,0,8308,4058,0
114,0,8309,4054,0
115,0,8310,5684,0
116,0,8311,2683,0
117,0,8312,5719,0
118,0,8313,6406,0
119,0,8314,6201,0
120,0,8315,2370,0
121,0,8316,5055,0
122,0,8317,2228,0
123,0,8318,4777,0
124,0,8320,4485,0
125,0,8321,2909,0
126,0,8322,4044,0
127,0,8323,5164,0
128,0,8324,4076,0
129,0,8325,2846,0
130,0,8326,5194,0
131,0,8327,6684,0
132,0,8328,4931,0
133,0,8329,6276,0
134,0,8330,2542,0
135,0,8331,4327,0
136,0,8332,5463,0
137,0,8333,5465,0
138,0,8334,3615,0
139,0,8335,5176,0
140,0,8336,4919,0
141,0,8337,4971,0
142,0,8338,6325,0
143,0,8339,3237,0
144,0,8340,6356,0
145,0,8341,2358,0
146,0,8342,6362,0
147,0,8343,6358,0
148,0,8344,6355,0
149,0,8345,3615,0
150,0,8346,3497,0
151,0,8347,4737,0
152,0,8348,6660,0
153,0,8349,2729,0
154,0,8350,4738,0
155,0,8351,3912,0
156,0,8352,4090,0
157,0,8353,4090,0
158,0,8354,5206,0
159,0,8355,4098,0
160,0,8356,3150,0
161,0,8357,6672,0
162,0,8358,4684,0
163,0,8359,4499,0
164,0,8360,4627,0
165,0,8361,2922,0
166,0,8362,4629,0
167,0,8363,5899,0
168,0,8364,4975,0
169,0,8365,7011,0
170,0,8366,2349,0
171,0,8367,5604,0
172,0,8368,6225,0
173,0,8369,3257,0
174,0,8370,3255,0
175,0,8371,6549,0
176,0,8372,2322,0
177,0,8373,4466,0
178,0,8374,2563,0
179,0,8375,4742,0
180,0,8376,3995,0
181,0,8377,2689,0
182,0,8380,5395,0
183,0,8382,5390,0
184,0,8383,4528,0
185,0,8385,4027,0
186,0,8386,4530,0
187,0,8387,265,0
188,0,8388,5134,0
189,0,8390,3980,0
190,0,8391,6082,0
191,0,8392,6939,0
192,0,8393,5528,0
193,0,8394,5155,0
194,0,8395,5524,0
195,0,8396,5610,0
196,0,8397,5524,0
197,0,8398,3717,0
198,0,8399,6848,0
199,0,8400,3561,0
200,0,8401,3284,0
201,0,8402,3282,0
202,0,8403,5697,0
203,0,8404,6554,0
204,0,8405,6456,0
205,0,8406,5255,0
206,0,8407,3060,0
207,0,8408,5258,0
208,0,8409,4293,0
209,0,8410,5658,0
210,0,8411,5754,0
211,0,8412,4155,0
212,0,8413,5314,0
213,0,8414,2372,0
214,0,8415,5589,0
215,0,8416,2543,0
216,0,8417,4161,0
217,0,8418,3707,0
218,0,8419,6136,0
219,0,8420,2616,0
220,0,8421,6621,0
221,0,8422,2989,0
222,0,8423,6386,0
223,0,8424,4106,0
224,0,8425,5007,0
225,0,8426,4425,0
226,0,8427,3911,0
227,0,8428,4042,0
228,0,8429,4109,0
229,0,8430,2735,0
230,0,8431,5166,0
231,0,8432,4425,0
232,0,8433,6682,0
233,0,8434,2503,0
234,0,8435,4978,0
235,0,8436,4631,0
236,0,8437,5298,0
237,0,8438,4973,0
238,0,8439,6025,0
239,0,8440,6361,0
240,0,8441,5270,0
241,0,8442,5268,0
242,0,8443,2713,0
243,0,8444,3650,0
244,0,8445,5762,0
245,0,8446,6398,0
246,0,8447,4116,0
247,0,8448,4674,0
248,0,8449,4468,0
249,0,8450,4203,0
250,0,8451,3806,0
251,0,8452,3885,0
252,0,8453,6225,0
253,0,8454,6119,0
254,0,8455,6524,0
255,0,8456,5237,0
256,0,8457,2459,0
257,0,8459,4858,0
258,0,8463,5181,0
259,0,8464,5138,0
260,0,8466,6188,0
261,0,8467,5954,0
262,0,8469,5820,0
263,0,8470,5889,0
264,0,8471,6308,0
265,0,8472,7112,0
266,0,8473,3897,0
267,0,8474,3553,0
268,0,8475,3609,0
269,0,8476,5515,0
270,0,8477,5510,0
271,0,8478,4889,0
272,0,8479,6013,0
273,0,8480,5262,0
274,0,8481,4117,0
275,0,8482,2324,0
276,0,8483,5429,0
277,0,8484,2470,0
278,0,8485,5682,0
279,0,8486,2971,0
280,0,8487,6200,0
281,0,8488,5353,0
282,0,8489,4776,0
283,0,8490,6277,0
284,0,8491,4339,0
285,0,8492,3857,0
286,0,8493,5043,0
287,0,8494,3434,0
288,0,8495,2554,0
289,0,8496,3709,0
290,0,8497,5126,0
291,0,8498,4379,0
292,0,8499,3764,0
293,0,8500,3762,0
294,0,8501,5108,0
295,0,8502,5797,0
296,0,8503,6756,0
297,0,8504,4083,0
298,0,8505,4079,0
299,0,8506,2848,0
300,0,8507,5196,0
301,0,8508,2863,0
302,0,8509,2458,0
303,0,8511,6879,0
304,0,8513,2296,0
305,0,8514,3583,0
306,0,8516,3814,0
307,0,8517,5710,0
308,0,8518,6732,0
309,0,8519,3739,0
310,0,8520,6362,0
311,0,8521,6489,0
312,0,8522,6248,0
313,0,8523,5560,0
314,0,8524,6244,0
315,0,8525,3285,0
316,0,8526,5743,0
317,0,8527,4320,0
318,0,8528,4893,0
319,0,8529,4764,0
320,0,8530,3066,0
321,0,8531,6553,0
322,0,8532,6440,0
323,0,8533,6433,0
324,0,8534,6513,0
325,0,8535,6511,0
326,0,8536,5662,0
327,0,8537,5070,0
328,0,8538,4233,0
329,0,8539,4653,0
330,0,8540,3665,0
331,0,8541,5804,0
332,0,8542,5680,0
333,0,8543,4158,0
334,0,8544,2384,0
335,0,8545,2230,0
336,0,8546,3844,0
