"","dist_F7413","dist_F7537","dist_F9689","RID","min_dist","min_FID","min_inv_dist","Block_y","Tract","BID"
"1",Inf,Inf,Inf,8869,Inf,"7413",0,1001,514,"1001514"
"2",Inf,Inf,Inf,8656,Inf,"7413",0,1001,514,"1001514"
"3",Inf,Inf,Inf,9522,Inf,"7413",0,1001,514,"1001514"
"4",Inf,Inf,Inf,10287,Inf,"7413",0,1001,514,"1001514"
"5",Inf,Inf,Inf,8449,Inf,"7413",0,1001,514,"1001514"
"6",Inf,Inf,Inf,9793,Inf,"7413",0,1001,514,"1001514"
"7",Inf,Inf,Inf,7437,Inf,"7413",0,1001,514,"1001514"
"8",Inf,Inf,Inf,9286,Inf,"7413",0,1001,514,"1001514"
"9",Inf,Inf,Inf,8720,Inf,"7413",0,1001,514,"1001514"
"10",Inf,Inf,Inf,8569,Inf,"7413",0,1001,514,"1001514"
"11",Inf,Inf,Inf,7906,Inf,"7413",0,1001,514,"1001514"
"12",Inf,Inf,Inf,7875,Inf,"7413",0,1001,514,"1001514"
"13",Inf,Inf,Inf,10136,Inf,"7413",0,1001,514,"1001514"
"14",Inf,Inf,Inf,10363,Inf,"7413",0,1001,514,"1001514"
"15",Inf,Inf,Inf,8736,Inf,"7413",0,1001,514,"1001514"
"16",Inf,Inf,Inf,9092,Inf,"7413",0,1001,514,"1001514"
"17",Inf,Inf,Inf,9023,Inf,"7413",0,1001,514,"1001514"
"18",Inf,Inf,Inf,7738,Inf,"7413",0,1001,514,"1001514"
"19",Inf,Inf,Inf,9525,Inf,"7413",0,1001,514,"1001514"
"20",Inf,Inf,Inf,8876,Inf,"7413",0,1001,514,"1001514"
"21",Inf,Inf,Inf,10084,Inf,"7413",0,1001,514,"1001514"
"22",Inf,Inf,Inf,9299,Inf,"7413",0,1001,514,"1001514"
"23",Inf,Inf,Inf,10291,Inf,"7413",0,1001,514,"1001514"
"24",Inf,Inf,Inf,8587,Inf,"7413",0,1001,514,"1001514"
"25",Inf,Inf,Inf,10769,Inf,"7413",0,1001,514,"1001514"
"26",Inf,Inf,Inf,10770,Inf,"7413",0,1001,514,"1001514"
"27",Inf,Inf,Inf,8501,Inf,"7413",0,1001,514,"1001514"
"28",Inf,Inf,Inf,10637,Inf,"7413",0,1001,514,"1001514"
"29",Inf,Inf,Inf,8249,Inf,"7413",0,1001,514,"1001514"
"30",Inf,Inf,Inf,10698,Inf,"7413",0,1001,514,"1001514"
"31",Inf,Inf,Inf,8096,Inf,"7413",0,1001,514,"1001514"
"32",Inf,Inf,Inf,7368,Inf,"7413",0,1001,514,"1001514"
"33",Inf,Inf,Inf,7200,Inf,"7413",0,1001,514,"1001514"
"34",Inf,Inf,Inf,8098,Inf,"7413",0,1001,514,"1001514"
"35",Inf,Inf,Inf,10504,Inf,"7413",0,1001,514,"1001514"
"36",Inf,Inf,Inf,7116,Inf,"7413",0,1001,514,"1001514"
"37",Inf,Inf,Inf,8443,Inf,"7413",0,1001,514,"1001514"
"38",Inf,Inf,Inf,7877,Inf,"7413",0,1001,514,"1001514"
"39",Inf,Inf,Inf,8459,Inf,"7413",0,1001,514,"1001514"
"40",Inf,Inf,Inf,10277,Inf,"7413",0,1001,514,"1001514"
"41",Inf,Inf,Inf,8721,Inf,"7413",0,1001,514,"1001514"
"42",Inf,Inf,Inf,9282,Inf,"7413",0,1001,514,"1001514"
"43",Inf,Inf,Inf,7944,Inf,"7413",0,1002,514,"1002514"
"44",Inf,Inf,Inf,8874,Inf,"7413",0,1002,514,"1002514"
"45",Inf,Inf,Inf,7822,Inf,"7413",0,1002,514,"1002514"
"46",Inf,Inf,Inf,10699,Inf,"7413",0,1002,514,"1002514"
"47",Inf,Inf,Inf,10006,Inf,"7413",0,1002,514,"1002514"
"48",Inf,Inf,Inf,10290,Inf,"7413",0,1002,514,"1002514"
"49",Inf,Inf,Inf,9297,Inf,"7413",0,1002,514,"1002514"
"50",Inf,Inf,Inf,8371,Inf,"7413",0,1003,514,"1003514"
"51",Inf,Inf,Inf,9999,Inf,"7413",0,1003,514,"1003514"
"52",Inf,Inf,Inf,7436,Inf,"7413",0,1003,514,"1003514"
"53",Inf,Inf,Inf,10280,Inf,"7413",0,1003,514,"1003514"
"54",Inf,Inf,Inf,10761,Inf,"7413",0,1003,514,"1003514"
