OID_,Join_Count,TARGET_FID,Field1,USER_Si_No,USER_Roof_Type,USER_Style,USER_Exterior,USER_Patio___deck,USER_Porch,USER_Attached_Garage,USER_Detached_Garage__shed,USER_Elevated,USER_Basement,USER_Building_Type,USER_Building_Diagram,FFH,Longitude,Latitude,PROP_CLASS,COST,CALC_ACRE,YR_CONSTR,DWELL,Areasqft,Occ,NumStories,BldgDmgPct,ContDmgPct,Block_y,Tract,Total,P65Over,P18Under,PNonWhite,PSingleParent,unitcost,Pdamagetotal,Id,OrigFID,Type,POINT_X,POINT_Y,Join_Count_1,TARGET_FID_1,release,capture_da,fake_heigh,OBJECTID_1,X,Y,Z,BUFF_DIST,Shape_Leng,labeled_el,label_elev,height,ORIG_FID,POINT_Z,POINT_M,NodeID
1,0,2999,1,2193,gable,cape cod,alum/ vinyl,no,yes,no,no,no,yes,not split level ,bd2a,1.751697540000000,-74.584286019999993,40.539608010000002,2,155700,0.114800000000000,1963,1,5000.687987999999677,RES1,1,0.000000000000000,0.000000000000000,1001,514,419,5.250596659000000,22.434367540000000,49.403341290000000,13.286713290000000,31.135715800231601,0.000000000000000,0, ,R,468701.443987999984529,621478.442296999972314,1,1,2,6/22/2019-7/13/2019,10,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10.000000000000000,0.0000000,10.0000000,1755,0.000000000000000,nan,8869.000000000000000
2,0,2637,2,2194,gable,cape cod,alum/ vinyl,yes,yes,no,no,no,yes,not split level ,bd2a,1.698204279000000,-74.584152000000003,40.539515010000002,2,119900,0.114800000000000,1965,1,5000.687987999999677,RES1,1,0.000000000000000,0.000000000000000,1001,514,419,5.250596659000000,22.434367540000000,49.403341290000000,13.286713290000000,23.976700863505300,0.000000000000000,0, ,R,468740.133621999993920,621443.802768999943510,1,2,2,6/22/2019-7/13/2019,10,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10.000000000000000,0.0000000,10.0000000,1542,0.000000000000000,nan,8656.000000000000000
3,0,4088,3,2199,gable,colonial,alum/ vinyl,yes,yes,yes,yes,no,yes,not split level ,bd2a,1.811829448000000,-74.583638019999995,40.539614000000000,2,231400,0.172200000000000,1999,1,7501.032226999999693,RES1,1,0.000000000000000,0.000000000000000,1001,514,419,5.250596659000000,22.434367540000000,49.403341290000000,13.286713290000000,30.849087565185300,0.000000000000000,0, ,R,468864.879144000005908,621498.868708000052720,1,3,2,6/22/2019-7/13/2019,10,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10.000000000000000,0.0000000,10.0000000,2408,0.000000000000000,nan,9522.000000000000000
4,0,5417,4,2200,gable,cape cod,alum/ vinyl,yes,no,no,yes,no,yes,not split level ,bd2a,2.344508648000000,-74.583832979999997,40.539745009999997,2,123200,0.114800000000000,1965,1,5000.687987999999677,RES1,1,0.000000000000000,0.000000000000000,1001,514,419,5.250596659000000,22.434367540000000,49.403341290000000,13.286713290000000,24.636610061583401,0.000000000000000,0, ,R,468817.117645999998786,621541.353206999949180,1,4,2,6/22/2019-7/13/2019,10,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10.000000000000000,0.0000000,10.0000000,3173,0.000000000000000,nan,10287.000000000000000
5,1,2303,5,2211,gable,old style,alum/ vinyl,no,yes,no,no,no,yes,not split level ,bd2a,4.017919064000000,-74.582620039999995,40.540734999999998,2,124000,0.114800000000000,1950,1,5000.687987999999677,RES1,1,0.000010000000000,0.000010000000000,1001,514,419,5.250596659000000,22.434367540000000,49.403341290000000,13.286713290000000,24.796588048996298,0.000020000000000,0, ,R,469154.017891000024974,621906.776197000057437,1,5,2,6/22/2019-7/13/2019,10,78,143000.766461999999592,189560.079020000004675,13.036010296500001,2.000000000000000,12.564137800899999,13.036010296500001,13.0360003,10.0000000,1335,0.000000000000000,nan,8449.000000000000000
6,1,4599,6,2215,gable,ranch,alum/ vinyl,yes,no,no,no,no,yes,not split level ,bd2a,3.659677505000000,-74.582462039999996,40.541066000000001,2,123200,0.114800000000000,1968,1,5000.687987999999677,RES1,1,0.000010000000000,0.000010000000000,1001,514,419,5.250596659000000,22.434367540000000,49.403341290000000,13.286713290000000,24.636610061583401,0.000020000000000,0, ,R,469209.699368999979924,622012.548676999984309,1,6,2,6/22/2019-7/13/2019,10,89,143011.288071999995736,189584.755560999998124,12.743602249400000,2.000000000000000,12.564127152999999,12.743602249400000,12.7435999,10.0000000,2679,0.000000000000000,nan,9793.000000000000000
7,2,553,7,2219,gable,cape cod,alum/ vinyl,yes,no,no,yes,no,yes,not split level ,bd2a,3.169989586000000,-74.582150990000002,40.541280989999997,2,158600,0.114800000000000,1960,1,5000.687987999999677,RES1,1,6.239530000000000,7.887436000000000,1001,514,419,5.250596659000000,22.434367540000000,49.403341290000000,13.286713290000000,31.715636004603301,14.126965999999999,0, ,R,469284.994257999991532,622100.390795000013895,1,7,2,6/22/2019-7/13/2019,10,98,143039.628308999992441,189611.282238000014331,11.966257499999999,2.000000000000000,12.564133718600001,11.966257499999999,11.9663000,10.0000000,323,0.000000000000000,nan,7437.000000000000000
8,1,3711,8,2329,gable,colonial,asbestos,no,yes,no,yes,no,yes,not split level ,bd2a,3.487986088000000,-74.578979020000006,40.541264980000001,2,131200,0.195100000000000,1935,1,8498.555663999999524,RES1,2,12.779010000000000,15.734812000000000,1001,514,419,5.250596659000000,22.434367540000000,49.403341290000000,13.286713290000000,15.437917357624100,28.513822000000001,0, ,R,470175.688519000017550,622084.210220000008121,1,8,2,6/22/2019-7/13/2019,10,114,143305.039262000005692,189617.170983999996679,13.764672767400000,2.000000000000000,12.564142784500000,13.764672767400000,13.7646999,10.0000000,2172,0.000000000000000,nan,9286.000000000000000
9,1,2735,9,2440,gable,cape cod,alum/ vinyl,yes,no,no,yes,no,yes,not split level ,bd2a,3.130182981000000,-74.571901010000005,40.545370020000000,2,105400,0.114800000000000,1960,1,5000.687987999999677,RES1,1,0.000010000000000,0.000010000000000,1001,514,419,5.250596659000000,22.434367540000000,49.403341290000000,13.286713290000000,21.077099841646799,0.000020000000000,0, ,R,472136.805272000026889,623578.326730999979191,1,9,2,6/22/2019-7/13/2019,10,285,143909.107133000012254,190064.227325999992900,14.136528761599999,2.000000000000000,12.564115742100000,14.136528761599999,14.1365004,10.0000000,1606,0.000000000000000,nan,8720.000000000000000
10,1,2474,10,2442,gable,cape cod,alum/ vinyl,yes,no,no,yes,no,yes,not split level ,bd2a,2.734709501000000,-74.572310970000004,40.545238009999998,2,155300,0.114800000000000,1959,1,5000.687987999999677,RES1,1,0.000010000000000,0.000010000000000,1001,514,419,5.250596659000000,22.434367540000000,49.403341290000000,13.286713290000000,31.055726806525200,0.000020000000000,0, ,R,472022.854344999999739,623528.961601000046358,1,10,2,6/22/2019-7/13/2019,10,284,143874.000021000014385,190049.353066999989096,14.045088703499999,2.000000000000000,12.564115742200000,14.045088703499999,14.0451002,10.0000000,1455,0.000000000000000,nan,8569.000000000000000
