WID,w1,w2,w3
1,0.1,0.1,0.8
2,0.1,0.2,0.7
3,0.1,0.3,0.6
4,0.1,0.4,0.5
5,0.1,0.5,0.4
6,0.1,0.6,0.3
7,0.1,0.7,0.2
8,0.1,0.8,0.1
9,0.2,0.1,0.7
10,0.2,0.2,0.6
11,0.2,0.3,0.5
12,0.2,0.4,0.4
13,0.2,0.5,0.3
14,0.2,0.6,0.2
15,0.2,0.7,0.1
16,0.3,0.1,0.6
17,0.3,0.2,0.5
18,0.3,0.3,0.4
19,0.3,0.4,0.3
20,0.3,0.5,0.2
21,0.3,0.6,0.1
22,0.4,0.1,0.5
23,0.4,0.2,0.4
24,0.4,0.3,0.3
25,0.4,0.4,0.2
26,0.4,0.5,0.1
27,0.5,0.1,0.4
28,0.5,0.2,0.3
29,0.5,0.3,0.2
30,0.5,0.4,0.1
31,0.6,0.1,0.3
32,0.6,0.2,0.2
33,0.6,0.3,0.1
34,0.7,0.1,0.2
35,0.7,0.2,0.1
36,0.8,0.1,0.1
