,Block_y,Tract,BID,Pdamage_avg,inv_dist_avg,Pdamage_PR,Efficiency_PR,SVI_PR_total,metric_sum,metric_PR
69,2001,515,2001515,0.1042896,0,0.958762887,0.739690722,0.974226804,0.943041237,1
112,2022,515,2022515,0.303130843,0,0.994845361,0.739690722,0.917525773,0.938402062,0.994845361
5,1003,514,1003514,0.109959724,0,0.963917526,0.739690722,0.891752577,0.912628866,0.989690722
8,1005,514,1005514,0.097156767,0,0.948453608,0.739690722,0.886597938,0.902835052,0.984536082
13,1008,514,1008514,0.020703943,0,0.87628866,0.739690722,0.963917526,0.897680412,0.979381443
43,1019,514,1019514,0.095145883,0,0.943298969,0.739690722,0.865979381,0.892010309,0.974226804
31,1014,516,1014516,0.01835121,0,0.865979381,0.739690722,0.948453608,0.886340206,0.969072165
67,2000,515,2000515,0.09139247,0,0.932989691,0.739690722,0.822164948,0.869329897,0.963917526
33,1015,516,1015516,0.016864094,0,0.855670103,0.739690722,0.902061856,0.862628866,0.958762887
77,2004,516,2004516,0.091732359,0,0.93814433,0.739690722,0.775773196,0.853350515,0.953608247
52,1023,514,1023514,0.118322382,0,0.969072165,0.739690722,0.721649485,0.847164948,0.948453608
74,2003,516,2003516,0.00037881,0,0.773195876,0.739690722,0.958762887,0.844072165,0.943298969
10,1006,514,1006514,0.016431438,0,0.850515464,0.739690722,0.855670103,0.841494845,0.93814433
80,2005,516,2005516,0.047346183,0,0.902061856,0.739690722,0.788659794,0.840463918,0.932989691
34,1016,514,1016514,0.174336418,0,0.984536082,0.739690722,0.664948454,0.832216495,0.927835052
7,1004,515,1004515,1.00E-07,0,0.75,0.739690722,0.927835052,0.820103093,0.922680412
18,1010,514,1010514,0.051881112,0,0.907216495,0.739690722,0.716494845,0.814175258,0.917525773
56,1024,516,1024516,1.00E-07,0,0.75,0.739690722,0.912371134,0.813917526,0.912371134
29,1014,514,1014514,0.040685178,0,0.886597938,0.739690722,0.737113402,0.812113402,0.907216495
142,3005,514,3005514,0.077246455,0,0.927835052,0.739690722,0.670103093,0.805927835,0.902061856
16,1009,515,1009515,0.003574539,0.006541607,0.793814433,0.458762887,0.907216495,0.805670103,0.896907216
6,1003,515,1003515,6.67E-08,0.012820513,0.724226804,0.432989691,1,0.805412371,0.891752577
54,1024,514,1024514,0.046919989,0,0.896907216,0.739690722,0.706185567,0.804896907,0.886597938
19,1010,515,1010515,0.007280755,0.006060606,0.824742268,0.469072165,0.850515464,0.799484536,0.881443299
70,2002,515,2002515,0.061758053,0,0.912371134,0.739690722,0.654639175,0.792010309,0.87628866
39,1017,516,1017516,0.004850398,0.005631868,0.809278351,0.474226804,0.829896907,0.784020619,0.871134021
49,1021,514,1021514,0.1464885,0,0.974226804,0.739690722,0.541237113,0.77757732,0.865979381
113,2022,516,2022516,0.020129488,0.019886884,0.871134021,0.309278351,0.757731959,0.769587629,0.860824742
4,1002,514,1002514,0.072836539,0,0.922680412,0.739690722,0.577319588,0.766237113,0.855670103
73,2003,515,2003515,0.00212658,0,0.783505155,0.739690722,0.74742268,0.764690722,0.850515464
59,1025,516,1025516,6.67E-08,0.007246377,0.724226804,0.453608247,0.881443299,0.760051546,0.845360825
60,1026,514,1026514,0.169851186,0,0.979381443,0.739690722,0.448453608,0.743041237,0.840206186
46,1020,514,1020514,0.014465984,0,0.845360825,0.739690722,0.585051546,0.730670103,0.835051546
98,2013,516,2013516,0.044719815,0.015426946,0.891752577,0.407216495,0.608247423,0.729896907,0.829896907
109,2020,515,2020515,5.56E-08,0.019566818,0.711340206,0.319587629,0.840206186,0.72371134,0.824742268
2,1001,514,1001514,0.02847183,0,0.881443299,0.739690722,0.518041237,0.721907216,0.819587629
26,1013,514,1013514,0.34117112,0,1,0.739690722,0.345360825,0.712113402,0.81443299
85,2008,515,2008515,5.00E-08,0.019230769,0.706185567,0.324742268,0.81443299,0.711340206,0.809278351
37,1017,514,1017514,6.00E-08,0,0.716494845,0.739690722,0.690721649,0.708505155,0.804123711
71,2002,516,2002516,0.005020818,0,0.81443299,0.739690722,0.546391753,0.699742268,0.798969072
28,1013,516,1013516,1.00E-07,0,0.75,0.739690722,0.621134021,0.69742268,0.793814433
57,1025,514,1025514,0.017757447,0,0.860824742,0.739690722,0.458762887,0.687886598,0.788659794
22,1011,516,1011516,0.00837212,0,0.829896907,0.739690722,0.494845361,0.68685567,0.783505155
36,1016,516,1016516,1.00E-07,0,0.75,0.739690722,0.56185567,0.67371134,0.778350515
94,2011,516,2011516,0.010992513,0.016340993,0.835051546,0.386597938,0.530927835,0.668556701,0.773195876
66,2000,514,2000514,0.000121038,0,0.768041237,0.739690722,0.525773196,0.668298969,0.768041237
21,1011,515,1011515,7.50E-08,0.012620192,0.731958763,0.43814433,0.613402062,0.655154639,0.762886598
40,1018,514,1018514,0.011653895,0,0.840206186,0.739690722,0.355670103,0.636340206,0.757731959
194,3066,514,3066514,0,0,0.327319588,0.739690722,0.989690722,0.633505155,0.75257732
87,2009,514,2009514,0,0,0.327319588,0.739690722,0.979381443,0.629381443,0.74742268
151,3016,514,3016514,0,0,0.327319588,0.739690722,0.969072165,0.625257732,0.742268041
164,3032,514,3032514,0.101043,0,0.953608247,0.739690722,0.175257732,0.620876289,0.737113402
158,3026,514,3026514,0,0,0.327319588,0.739690722,0.943298969,0.614948454,0.731958763
90,2010,514,2010514,0,0,0.327319588,0.739690722,0.932989691,0.610824742,0.726804124
174,3043,514,3043514,0,0,0.327319588,0.739690722,0.896907216,0.596391753,0.721649485
107,2019,515,2019515,0,0.018181818,0.327319588,0.345360825,0.994845361,0.596134021,0.716494845
