BID,Nearest_FID,N,M,block_M
1000515,7413,0,0.0,0.206185567010309
1001514,7537,1,0.860824742268041,0.860824742268041
1001515,7537,1,0.371134020618557,0.371134020618557
1002514,7537,1,0.865979381443299,0.865979381443299
1003514,7537,1,0.994845360824742,0.994845360824742
1003515,7537,1,0.768041237113402,0.768041237113402
1004515,7537,1,0.731958762886598,0.731958762886598
1005514,7537,1,0.989690721649485,0.989690721649485
1005515,7413,0,0.0,0.510309278350515
1006514,7537,1,0.95360824742268,0.95360824742268
1006515,7537,0,0.0,0.324742268041237
1007515,7537,0,0.0,0.0412371134020619
1008514,7537,1,0.984536082474227,0.984536082474227
1008515,7537,0,0.0,0.193298969072165
1008516,9689,1,0.381443298969072,0.381443298969072
1009515,7537,1,0.798969072164949,0.798969072164949
1009516,9689,0,0.0,0.237113402061856
1010514,7537,1,0.979381443298969,0.979381443298969
1010515,7537,1,0.747422680412371,0.747422680412371
1011514,7537,1,0.757731958762887,0.757731958762887
1011515,7537,1,0.54639175257732,0.54639175257732
1011516,9689,1,0.685567010309278,0.685567010309278
1012514,7537,1,0.706185567010309,0.706185567010309
1012515,7537,0,0.0,0.0515463917525773
1012516,9689,1,0.541237113402062,0.541237113402062
1013514,7537,1,0.783505154639175,0.783505154639175
1013515,7537,1,0.376288659793814,0.376288659793814
1013516,9689,1,0.788659793814433,0.788659793814433
1014514,7537,1,0.963917525773196,0.963917525773196
1014515,7537,0,0.0,0.520618556701031
1014516,9689,1,0.945876288659794,0.945876288659794
1015515,7413,0,0.0,0.15979381443299
1015516,9689,1,0.93298969072165,0.93298969072165
1016514,7537,1,0.958762886597938,0.958762886597938
1016515,7413,0,0.0,0.211340206185567
1016516,9689,1,0.639175257731959,0.639175257731959
1017514,7537,1,0.876288659793814,0.876288659793814
1017515,7413,0,0.0,0.0257731958762887
1017516,9689,1,0.845360824742268,0.845360824742268
1018514,7537,1,0.711340206185567,0.711340206185567
1018515,7413,0,0.0,0.283505154639175
1018516,9689,0,0.0,0.103092783505155
1019514,7537,1,1.0,1.0
1019515,7413,0,0.0,0.242268041237113
1019516,9689,0,0.0,0.0309278350515464
1020514,7537,1,0.938144329896907,0.938144329896907
1020515,7413,0,0.0,0.649484536082474
1020516,9689,0,0.0,0.407216494845361
1021514,7537,1,0.917525773195876,0.917525773195876
1021515,7413,0,0.0,0.621134020618557
1022515,7413,0,0.0,0.5
1023514,7537,1,0.974226804123711,0.974226804123711
1023515,7413,0,0.0,0.0721649484536082
1024514,7537,1,0.969072164948454,0.969072164948454
1024515,7413,0,0.0,0.443298969072165
1024516,9689,1,0.871134020618557,0.871134020618557
1025514,7537,1,0.907216494845361,0.907216494845361
1025515,7413,0,0.0,0.608247422680412
1025516,9689,1,0.855670103092783,0.855670103092783
1026514,7537,1,0.84020618556701,0.84020618556701
1026515,7413,0,0.0,0.551546391752577
1026516,9689,0,0.0,0.670103092783505
