BID,Nearest_FID,N_Metric_dyne,N_Metric_dyn1,N_Metric_dyn2,N_Metric_dyn3,block_M
1000515,7413,0.0,0.0,0.0,0.0,0.144329896907216
1001514,7537,-0.876288659793814,-0.876288659793814,-0.876288659793814,-0.876288659793814,0.876288659793814
1001515,7537,-0.675257731958763,-0.675257731958763,-0.675257731958763,-0.675257731958763,0.675257731958763
1002514,7537,-0.88659793814433,-0.88659793814433,-0.88659793814433,-0.88659793814433,0.88659793814433
1003514,7537,-0.994845360824742,-0.994845360824742,-0.994845360824742,-0.994845360824742,0.994845360824742
1003515,7537,0.72680412371134,0.72680412371134,0.72680412371134,-0.72680412371134,0.72680412371134
1004515,7537,0.742268041237113,0.742268041237113,0.742268041237113,-0.742268041237113,0.742268041237113
1005514,7537,-0.989690721649485,-0.989690721649485,-0.989690721649485,-0.989690721649485,0.989690721649485
1005515,7413,0.0,0.0,0.0,0.0,0.360824742268041
1006514,7537,-0.938144329896907,-0.938144329896907,-0.938144329896907,-0.938144329896907,0.938144329896907
1006515,7537,0.0,0.0,0.0,0.0,0.27319587628866
1007515,7537,0.0,0.0,0.0,0.0,0.0309278350515464
1008514,7537,-0.958762886597938,-0.958762886597938,-0.958762886597938,-0.958762886597938,0.958762886597938
1008515,7537,0.0,0.0,0.0,0.0,0.170103092783505
1008516,9689,-0.65979381443299,-0.65979381443299,-0.65979381443299,0.65979381443299,0.65979381443299
1009515,7537,-0.778350515463918,-0.778350515463918,-0.778350515463918,-0.778350515463918,0.778350515463918
1009516,9689,0.0,0.0,0.0,0.0,0.216494845360825
1010514,7537,-0.974226804123711,-0.974226804123711,-0.974226804123711,-0.974226804123711,0.974226804123711
1010515,7537,-0.786082474226804,-0.786082474226804,-0.786082474226804,-0.786082474226804,0.786082474226804
1011514,7537,-0.850515463917526,-0.850515463917526,-0.850515463917526,-0.850515463917526,0.850515463917526
1011515,7537,-0.695876288659794,-0.695876288659794,-0.695876288659794,-0.695876288659794,0.695876288659794
1011516,9689,-0.793814432989691,-0.793814432989691,-0.793814432989691,-0.793814432989691,0.793814432989691
1012514,7537,-0.860824742268041,-0.860824742268041,-0.860824742268041,-0.860824742268041,0.860824742268041
1012515,7537,0.0,0.0,0.0,-0.0463917525773196,0.0463917525773196
1012516,9689,-0.711340206185567,-0.711340206185567,-0.711340206185567,-0.711340206185567,0.711340206185567
1013514,7537,-0.902061855670103,-0.902061855670103,-0.902061855670103,-0.902061855670103,0.902061855670103
1013515,7537,0.654639175257732,-0.654639175257732,-0.654639175257732,-0.654639175257732,0.654639175257732
1013516,9689,-0.768041237113402,-0.768041237113402,-0.768041237113402,-0.768041237113402,0.768041237113402
1014514,7537,-0.95360824742268,-0.95360824742268,-0.95360824742268,-0.95360824742268,0.95360824742268
1014515,7537,0.0,0.0,0.0,0.0,0.381443298969072
1014516,9689,-0.912371134020619,-0.912371134020619,-0.912371134020619,-0.912371134020619,0.912371134020619
1015515,7413,0.0,0.0,0.0,0.0,0.108247422680412
1015516,9689,-0.881443298969072,-0.881443298969072,-0.881443298969072,-0.881443298969072,0.881443298969072
1016514,7537,-0.979381443298969,-0.979381443298969,-0.979381443298969,-0.979381443298969,0.979381443298969
1016515,7413,0.0,0.0,0.0,0.0,0.152061855670103
1016516,9689,-0.731958762886598,-0.731958762886598,-0.731958762886598,-0.731958762886598,0.731958762886598
1017514,7537,-0.829896907216495,-0.829896907216495,-0.829896907216495,-0.829896907216495,0.829896907216495
1017515,7413,0.0,0.0,0.0,0.0,0.0206185567010309
1017516,9689,-0.835051546391753,-0.835051546391753,-0.835051546391753,-0.835051546391753,0.835051546391753
1018514,7537,-0.824742268041237,-0.824742268041237,-0.824742268041237,-0.824742268041237,0.824742268041237
1018515,7413,0.0,0.0,0.0,0.0,0.247422680412371
1018516,9689,0.0,0.0,0.0,0.0,0.103092783505155
1019514,7537,-1.0,-1.0,-1.0,-1.0,1.0
1019515,7413,0.0,0.0,0.0,0.0,0.195876288659794
1019516,9689,0.0,0.0,0.0,0.0,0.0360824742268041
1020514,7537,-0.927835051546392,-0.927835051546392,-0.927835051546392,-0.927835051546392,0.927835051546392
1020515,7413,0.0,0.0,0.0,0.0,0.556701030927835
1020516,9689,0.0,0.0,0.0,0.0,0.34020618556701
1021514,7537,-0.948453608247423,-0.948453608247423,-0.948453608247423,-0.948453608247423,0.948453608247423
1021515,7413,0.0,0.0,0.0,0.0,0.536082474226804
1022515,7413,0.0,0.0,0.0,0.0,0.435567010309278
1023514,7537,-0.984536082474227,-0.984536082474227,-0.984536082474227,-0.984536082474227,0.984536082474227
1023515,7413,0.0,0.0,0.0,0.0,0.0721649484536082
1024514,7537,-0.963917525773196,-0.963917525773196,-0.963917525773196,-0.963917525773196,0.963917525773196
1024515,7413,0.0,0.0,0.0,0.0,0.350515463917526
1024516,9689,-0.819587628865979,-0.819587628865979,-0.819587628865979,-0.819587628865979,0.819587628865979
1025514,7537,-0.891752577319588,-0.891752577319588,-0.891752577319588,-0.891752577319588,0.891752577319588
1025515,7413,0.0,0.0,0.0,0.0,0.515463917525773
1025516,9689,-0.77319587628866,-0.77319587628866,-0.77319587628866,-0.77319587628866,0.77319587628866
1026514,7537,-0.917525773195876,-0.917525773195876,-0.917525773195876,-0.917525773195876,0.917525773195876
1026515,7413,0.0,0.0,0.0,0.0,0.435567010309278
1026516,9689,0.0,0.0,0.0,0.0,0.543814432989691
1027515,7413,0.0,0.0,0.0,0.0,0.0567010309278351
1027516,9689,0.0,0.0,0.0,0.0,0.237113402061856
1028515,7413,0.0,0.0,0.0,0.0,0.280927835051546
2000514,7537,-0.809278350515464,-0.809278350515464,-0.809278350515464,-0.809278350515464,0.809278350515464
2000515,7537,-0.896907216494845,-0.896907216494845,-0.896907216494845,-0.896907216494845,0.896907216494845
2001514,7537,0.0,0.0,0.0,0.0,0.262886597938144
2001515,7537,-0.943298969072165,-0.943298969072165,-0.943298969072165,-0.943298969072165,0.943298969072165
2002515,7537,-0.855670103092783,-0.855670103092783,-0.855670103092783,-0.855670103092783,0.855670103092783
2002516,9689,-0.798969072164949,-0.798969072164949,-0.798969072164949,-0.798969072164949,0.798969072164949
2003514,7537,0.0,0.0,0.0,0.0,0.551546391752577
2003515,7537,-0.804123711340206,-0.804123711340206,-0.804123711340206,-0.804123711340206,0.804123711340206
2003516,9689,-0.84020618556701,-0.84020618556701,-0.84020618556701,-0.84020618556701,0.84020618556701
2004514,7537,0.0,0.0,0.0,0.0,0.376288659793814
2004515,7537,-0.670103092783505,-0.670103092783505,-0.670103092783505,-0.670103092783505,0.670103092783505
2004516,9689,-0.907216494845361,-0.907216494845361,-0.907216494845361,-0.907216494845361,0.907216494845361
2005514,7537,0.0,0.0,0.0,0.0,0.417525773195876
2005515,7537,-0.690721649484536,-0.690721649484536,-0.690721649484536,-0.690721649484536,0.690721649484536
2005516,9689,-0.93298969072165,-0.93298969072165,-0.93298969072165,-0.93298969072165,0.93298969072165
2006515,7413,0.0,0.0,0.0,0.0,0.131443298969072
2006516,9689,0.0,0.0,0.0,0.0,0.319587628865979
2007515,7413,-0.592783505154639,-0.592783505154639,-0.592783505154639,-0.592783505154639,0.592783505154639
2007516,9689,-0.701030927835051,-0.701030927835051,-0.701030927835051,-0.701030927835051,0.701030927835051
2008515,7413,-0.706185567010309,-0.706185567010309,-0.706185567010309,-0.706185567010309,0.706185567010309
2008516,9689,-0.543814432989691,0.0,0.0,0.0,0.543814432989691
2009514,7537,0.0,0.0,0.0,0.0,0.618556701030928
2009515,7413,0.0,0.0,0.0,0.0,0.332474226804124
2009516,9689,-0.639175257731959,-0.639175257731959,-0.639175257731959,0.639175257731959,0.639175257731959
2010514,7537,0.0,0.0,0.0,0.0,0.577319587628866
2010515,7413,0.0,0.0,0.0,0.0,0.471649484536082
2010516,9689,0.0,0.0,0.0,0.0,0.190721649484536
2011515,7413,0.0,0.0,0.0,0.0,0.0824742268041237
2011516,9689,-0.757731958762887,-0.757731958762887,-0.757731958762887,-0.757731958762887,0.757731958762887
2012515,7413,0.0,0.0,0.0,0.0,0.242268041237113
2012516,9689,-0.644329896907217,-0.644329896907217,-0.644329896907217,0.644329896907217,0.644329896907217
2013515,7413,0.0,0.0,0.0,0.0,0.20360824742268
2013516,9689,-0.786082474226804,-0.786082474226804,-0.786082474226804,-0.786082474226804,0.786082474226804
2014515,7413,0.0,0.0,0.0,0.0,0.185567010309278
2015515,7413,0.0,0.0,0.0,0.0,0.298969072164948
2016515,7413,0.0,0.0,0.0,0.0,0.489690721649485
2016516,9689,0.0,0.0,0.0,0.0,0.394329896907216
2017515,7413,0.0,0.0,0.0,0.0,0.11340206185567
2017516,9689,0.0,0.0,0.0,0.0,0.0618556701030928
2018515,7413,0.0,0.0,0.0,0.0,0.0257731958762887
2018516,9689,0.0,0.0,0.0,0.0,0.077319587628866
2019515,7413,0.0,0.0,0.0,0.0,0.582474226804124
2019516,9689,0.0,0.0,0.0,0.0,0.257731958762887
2020515,7413,-0.747422680412371,-0.747422680412371,-0.747422680412371,-0.747422680412371,0.747422680412371
2020516,9689,0.0,0.0,0.0,0.0,0.0051546391752577
2021516,9689,0.0,0.0,0.0,0.0,0.175257731958763
2022515,7537,-0.969072164948454,-0.969072164948454,-0.969072164948454,-0.969072164948454,0.969072164948454
2022516,9689,-0.845360824742268,-0.845360824742268,-0.845360824742268,-0.845360824742268,0.845360824742268
2023516,9689,0.0,0.0,0.0,0.0,0.332474226804124
2024516,9689,0.0,0.0,0.0,0.0,0.0927835051546392
2025516,9689,0.0,0.0,0.0,0.0,0.293814432989691
