,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"(7413, 'dyne')",6,6,6,6,6,6,6,6,6,6,6,6,6,4,2,0,0,0,0,0,0,0,0,0,0,0
"(7413, 'dyn1')",6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,3,2,1,0,0,0,0,0,0,0,0
"(7413, 'dyn2')",6,6,6,6,6,6,6,6,6,6,6,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0
"(7413, 'dyn3')",6,6,6,6,6,6,6,6,6,6,6,6,6,4,2,0,0,0,0,0,0,0,0,0,0,0
"(7537, 'dyne')",42,42,42,42,42,42,42,42,42,42,42,42,42,40,38,36,33,30,27,24,21,15,9,3,0,0
"(7537, 'dyn1')",42,42,42,42,42,42,42,42,42,42,42,42,42,39,36,33,30,27,24,20,16,12,8,2,0,0
"(7537, 'dyn2')",42,42,42,42,42,42,42,42,42,42,42,42,42,40,38,34,30,26,22,18,14,10,6,2,0,0
"(7537, 'dyn3')",42,42,42,42,42,42,42,42,42,42,42,42,42,39,36,33,28,23,18,13,8,5,2,0,0,0
"(9689, 'dyne')",20,20,20,20,20,20,20,20,20,20,20,20,20,18,16,14,11,8,5,2,0,0,0,0,0,0
"(9689, 'dyn1')",20,20,20,20,20,20,20,20,20,20,20,20,20,18,16,14,12,10,8,6,4,2,0,0,0,0
"(9689, 'dyn2')",20,20,20,20,20,20,20,20,20,20,20,20,20,19,18,16,14,12,10,8,6,4,2,0,0,0
"(9689, 'dyn3')",20,20,20,20,20,20,20,20,20,20,20,20,20,19,18,17,16,15,14,13,12,9,6,3,0,0
