,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"(7413, 'dyne')",6,6,6,6,6,6,6,6,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"(7413, 'dyn1')",6,6,6,6,6,6,6,6,3,3,3,3,3,2,1,0,0,0,0,0,0,0,0,1,0,0
"(7413, 'dyn2')",6,6,6,6,6,6,6,6,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"(7413, 'dyn3')",6,6,6,6,6,6,6,6,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"(7537, 'dyne')",42,17,41,41,37,19,19,17,8,8,8,8,8,6,4,1,0,0,0,0,0,0,0,4,0,0
"(7537, 'dyn1')",42,17,41,41,37,19,19,17,8,8,8,8,8,5,2,0,0,0,0,0,0,0,0,3,0,0
"(7537, 'dyn2')",42,17,41,41,37,19,19,17,8,8,8,8,8,6,2,0,0,0,0,0,0,0,0,3,0,0
"(7537, 'dyn3')",42,17,41,41,37,19,19,17,8,8,8,8,8,5,2,0,0,0,0,0,0,0,0,0,0,0
"(9689, 'dyne')",20,14,15,13,10,9,9,9,9,9,9,9,9,7,5,2,0,0,0,0,0,0,0,0,0,0
"(9689, 'dyn1')",20,14,15,13,10,9,9,9,9,9,9,9,9,7,5,3,0,0,0,0,0,0,0,0,0,0
"(9689, 'dyn2')",20,14,15,13,10,9,9,9,9,9,9,9,9,8,6,4,0,0,0,0,0,0,0,1,0,0
"(9689, 'dyn3')",20,14,15,13,10,9,9,9,9,9,9,9,9,8,7,4,0,0,0,0,0,0,0,1,0,0
