BID,Nearest_FID,N,M,block_M
1000515,7413,0,0.0,0.118556701030928
1001514,7537,1,0.860824742268041,0.824742268041237
1001515,7537,1,0.270618556701031,0.456185567010309
1002514,7537,1,0.917525773195876,0.871134020618557
1003514,7537,1,0.896907216494845,0.984536082474227
1003515,7537,1,0.489690721649485,0.768041237113402
1004515,7537,1,0.474226804123711,0.948453608247423
1005514,7537,1,0.904639175257732,0.974226804123711
1005515,7413,0,0.0,0.293814432989691
1006514,7537,1,0.95360824742268,0.943298969072165
1006515,7537,0,0.0,0.242268041237113
1007515,7537,0,0.0,0.0515463917525773
1008514,7537,0,0.0,0.989690721649485
1008515,7537,0,0.0,0.309278350515464
1008516,9689,1,0.329896907216495,0.319587628865979
1009515,7537,1,0.690721649484536,0.757731958762887
1009516,9689,0,0.0,0.211340206185567
1010514,7537,1,0.938144329896907,0.912371134020619
1010515,7537,1,0.943298969072165,0.747422680412371
1011514,7537,1,0.804123711340206,0.675257731958763
1011515,7537,1,0.551546391752577,0.561855670103093
1011516,9689,0,0.0,0.798969072164949
1012514,7537,1,0.762886597938144,0.644329896907217
1012515,7537,0,0.0,0.262886597938144
1012516,9689,0,0.0,0.670103092783505
1013514,7537,1,0.711340206185567,0.77319587628866
1013515,7537,1,0.257731958762887,0.448453608247423
1013516,9689,0,0.0,0.835051546391753
1014514,7537,1,0.871134020618557,0.917525773195876
1014515,7537,0,0.0,0.324742268041237
1014516,9689,0,0.0,0.979381443298969
1015515,7413,0,0.0,0.103092783505155
1015516,9689,0,0.0,0.958762886597938
1016514,7537,1,0.850515463917526,0.907216494845361
1016515,7413,0,0.0,0.0979381443298969
1016516,9689,0,0.0,0.804123711340206
1017514,7537,0,0.0,0.855670103092783
1017515,7413,0,0.0,0.0206185567010309
1017516,9689,1,0.912371134020619,0.737113402061856
1018514,7537,1,0.664948453608247,0.731958762886598
1018515,7413,0,0.0,0.206185567010309
1018516,9689,0,0.0,0.0927835051546392
1019514,7537,1,0.93298969072165,0.969072164948454
1019515,7413,0,0.0,0.167525773195876
1019516,9689,0,0.0,0.0257731958762887
1020514,7537,1,0.855670103092783,0.84020618556701
1020515,7413,0,0.0,0.489690721649485
1020516,9689,0,0.0,0.268041237113402
1021514,7537,1,0.819587628865979,0.865979381443299
1021515,7413,0,0.0,0.463917525773196
1022515,7413,0,0.0,0.360824742268041
1023514,7537,1,0.876288659793814,0.922680412371134
1023515,7413,0,0.0,0.0721649484536082
1024514,7537,1,0.881443298969072,0.902061855670103
1024515,7413,0,0.0,0.329896907216495
1024516,9689,0,0.0,0.938144329896907
1025514,7537,1,0.84020618556701,0.783505154639175
1025515,7413,0,0.0,0.443298969072165
1025516,9689,1,0.798969072164949,0.711340206185567
1026514,7537,1,0.865979381443299,0.819587628865979
1026515,7413,0,0.0,0.345360824742268
1026516,9689,0,0.0,0.456185567010309
1027515,7413,0,0.0,0.0412371134020619
1027516,9689,0,0.0,0.219072164948454
1028515,7413,0,0.0,0.22680412371134
2000514,7537,1,0.737113402061856,0.788659793814433
2000515,7537,0,0.0,0.95360824742268
2001514,7537,0,0.0,0.43298969072165
2001515,7537,0,0.0,1.0
2002515,7537,1,0.845360824742268,0.88659793814433
2002516,9689,0,0.0,0.814432989690722
2003514,7537,0,0.0,0.680412371134021
2003515,7537,1,0.824742268041237,0.891752577319588
2003516,9689,0,0.0,0.963917525773196
2004514,7537,0,0.0,0.649484536082474
2004515,7537,1,0.319587628865979,0.371134020618557
2004516,9689,0,0.0,0.93298969072165
2005514,7537,0,0.0,0.628865979381443
2005515,7537,1,0.402061855670103,0.350515463917526
2005516,9689,1,0.948453608247423,0.927835051546392
2006515,7413,0,0.0,0.11340206185567
2006516,9689,0,0.0,0.288659793814433
2007515,7413,1,0.185567010309278,0.219072164948454
2007516,9689,1,0.38659793814433,0.355670103092784
2008515,7413,1,0.448453608247423,0.551546391752577
2008516,9689,0,0.0,0.474226804123711
2009514,7537,0,0.0,0.876288659793814
2009515,7413,0,0.0,0.278350515463918
2009516,9689,1,0.391752577319588,0.304123711340206
2010514,7537,0,0.0,0.845360824742268
2010515,7413,0,0.0,0.365979381443299
2010516,9689,0,0.0,0.195876288659794
2011515,7413,0,0.0,0.077319587628866
2011516,9689,1,0.56701030927835,0.520618556701031
2012515,7413,0,0.0,0.231958762886598
2012516,9689,1,0.170103092783505,0.175257731958763
2013515,7413,0,0.0,0.190721649484536
2013516,9689,1,0.618556701030928,0.597938144329897
2014515,7413,0,0.0,0.180412371134021
2015515,7413,0,0.0,0.283505154639175
2016515,7413,0,0.0,0.412371134020619
2016516,9689,0,0.0,0.335051546391753
2017515,7413,0,0.0,0.149484536082474
2017516,9689,0,0.0,0.0618556701030928
2018515,7413,0,0.0,0.0309278350515464
2018516,9689,0,0.0,0.0567010309278351
2019515,7413,0,0.0,0.54639175257732
2019516,9689,0,0.0,0.201030927835052
2020515,7413,1,0.603092783505155,0.572164948453608
2020516,9689,0,0.0,0.0051546391752577
2021516,9689,0,0.0,0.237113402061856
2022515,7537,0,0.0,0.994845360824742
2022516,9689,1,0.634020618556701,0.577319587628866
2023516,9689,0,0.0,0.27319587628866
2024516,9689,0,0.0,0.0876288659793814
2025516,9689,0,0.0,0.257731958762887
2026516,9689,0,0.0,0.167525773195876
2027516,9689,0,0.0,0.0103092783505155
2029516,9689,0,0.0,0.247422680412371
2030516,9689,0,0.0,0.0670103092783505
