BID,Nearest_FID,M,M,block_M
2001515,7537,0.0,0.0,1.0
2022515,7537,0.0,0.0,0.994845361
1003514,7537,0.0,0.0,0.989690722
1005514,7537,0.0,0.0,0.984536082
1008514,7537,0.0,0.0,0.979381443
1019514,7537,0.0,0.0,0.974226804
1014516,9689,0.0,0.0,0.969072165
2000515,7537,0.0,0.0,0.963917526
1015516,9689,0.0,0.0,0.958762887
2004516,9689,0.0,0.0,0.953608247
1023514,7537,0.0,0.0,0.948453608
2003516,9689,0.0,0.0,0.943298969
1006514,7537,0.0,0.0,0.93814433
2005516,9689,0.0,0.0,0.932989691
1016514,7537,0.0,0.0,0.927835052
1004515,7537,0.0,0.0,0.922680412
1010514,7537,0.0,0.0,0.917525773
1024516,9689,0.0,0.0,0.912371134
1014514,7537,0.0,0.0,0.907216495
3005514,7413,0.0,0.0,0.902061856
1009515,7537,0.896907216,0.896907216,0.896907216
1003515,7537,0.891752577,0.891752577,0.891752577
1024514,7537,0.0,0.0,0.886597938
1010515,7537,0.881443299,0.881443299,0.881443299
2002515,7537,0.0,0.0,0.87628866
1017516,9689,0.871134021,0.871134021,0.871134021
1021514,7537,0.0,0.0,0.865979381
2022516,9689,0.860824742,0.860824742,0.860824742
1002514,7537,0.0,0.0,0.855670103
2003515,7537,0.0,0.0,0.850515464
1025516,9689,0.845360825,0.845360825,0.845360825
1026514,7537,0.0,0.0,0.840206186
1020514,7537,0.0,0.0,0.835051546
2013516,9689,0.829896907,0.829896907,0.829896907
2020515,7413,0.824742268,0.824742268,0.824742268
1001514,7537,0.0,0.0,0.819587629
1013514,7537,0.0,0.0,0.81443299
2008515,7413,0.809278351,0.809278351,0.809278351
1017514,7537,0.0,0.0,0.804123711
2002516,9689,0.0,0.0,0.798969072
1013516,9689,0.0,0.0,0.793814433
1025514,7537,0.0,0.0,0.788659794
1011516,9689,0.0,0.0,0.783505155
1016516,9689,0.0,0.0,0.778350515
2011516,9689,0.773195876,0.773195876,0.773195876
2000514,7537,0.0,0.0,0.768041237
1011515,7537,0.762886598,0.762886598,0.762886598
1018514,7537,0.0,0.0,0.757731959
3066514,7413,0.0,0.0,0.75257732
2009514,7537,0.0,0.0,0.74742268
3016514,7413,0.0,0.0,0.742268041
3032514,7537,0.0,0.0,0.737113402
3026514,7537,0.0,0.0,0.731958763
2010514,7537,0.0,0.0,0.726804124
3043514,7413,0.0,0.0,0.721649485
2019515,7413,0.0,0.0,0.716494845
3036514,7537,0.0,0.0,0.711340206
1012514,7537,0.0,0.0,0.706185567
3000514,7413,0.0,0.0,0.701030928
3054514,7413,0.0,0.0,0.695876289
1011514,7537,0.0,0.0,0.690721649
1026516,9689,0.0,0.0,0.68556701
3064514,7413,0.0,0.0,0.680412371
3030514,7537,0.0,0.0,0.675257732
1005515,7413,0.0,0.0,0.670103093
3017514,7413,0.0,0.0,0.664948454
1012516,9689,0.0,0.0,0.659793814
2005515,7537,0.654639175,0.654639175,0.654639175
3033514,7537,0.0,0.0,0.649484536
1013515,7537,0.644329897,0.644329897,0.644329897
2008516,9689,0.0,0.0,0.639175258
2036516,7413,0.0,0.0,0.634020619
1001515,7537,0.628865979,0.628865979,0.628865979
1014515,7537,0.0,0.0,0.62371134
3060514,7413,0.0,0.0,0.618556701
3037514,7537,0.0,0.0,0.613402062
3057514,7413,0.0,0.0,0.608247423
3006514,7413,0.0,0.0,0.603092784
2010515,7413,0.0,0.0,0.597938144
1026515,7413,0.0,0.0,0.592783505
1020515,7413,0.0,0.0,0.587628866
1025515,7413,0.0,0.0,0.582474227
1021515,7413,0.0,0.0,0.577319588
3003514,7413,0.0,0.0,0.572164948
3010514,7413,0.0,0.0,0.56443299
3056514,7413,0.0,0.0,0.56443299
2023516,9689,0.0,0.0,0.556701031
2007516,9689,0.551546392,0.551546392,0.551546392
3058514,7413,0.0,0.0,0.546391753
1008516,9689,0.541237113,0.541237113,0.541237113
2009515,7413,0.0,0.0,0.536082474
2004515,7537,0.530927835,0.530927835,0.530927835
3025514,7537,0.0,0.0,0.525773196
2025516,9689,0.0,0.0,0.520618557
3062514,7413,0.0,0.0,0.515463918
3048514,7413,0.0,0.0,0.510309278
1028515,7413,0.0,0.0,0.505154639
2019516,9689,0.0,0.0,0.5
3031514,7537,0.0,0.0,0.494845361
1024515,7413,0.0,0.0,0.489690722
2003514,7537,0.0,0.0,0.484536082
1020516,9689,0.0,0.0,0.479381443
2007515,7413,0.474226804,0.474226804,0.474226804
1022515,7413,0.0,0.0,0.466494845
2026516,9689,0.0,0.0,0.466494845
2029516,9689,0.0,0.0,0.458762887
2016516,9689,0.0,0.0,0.453608247
2004514,7537,0.0,0.0,0.448453608
2049516,7413,0.0,0.0,0.443298969
2016515,7413,0.0,0.0,0.43814433
2012516,9689,0.432989691,0.432989691,0.432989691
2009516,9689,0.427835052,0.427835052,0.427835052
3001514,7413,0.0,0.0,0.422680412
1006515,7537,0.0,0.0,0.417525773
3019514,7413,0.0,0.0,0.412371134
2005514,7537,0.0,0.0,0.407216495
3021514,7413,0.0,0.0,0.399484536
3039514,7537,0.0,0.0,0.399484536
2039516,9689,0.0,0.0,0.389175258
2041516,9689,0.0,0.0,0.389175258
3018514,7413,0.0,0.0,0.381443299
3012514,7413,0.0,0.0,0.37628866
1016515,7413,0.0,0.0,0.371134021
3041514,7413,0.0,0.0,0.365979381
1000515,7413,0.0,0.0,0.358247423
1018515,7413,0.0,0.0,0.358247423
3013514,7413,0.0,0.0,0.350515464
1019515,7413,0.0,0.0,0.345360825
3050514,7413,0.0,0.0,0.340206186
2037516,7413,0.0,0.0,0.335051546
3061514,7413,0.0,0.0,0.329896907
2040516,9689,0.0,0.0,0.324742268
3049514,7413,0.0,0.0,0.319587629
3040514,7413,0.0,0.0,0.31443299
1008515,7537,0.0,0.0,0.306701031
2021516,9689,0.0,0.0,0.306701031
1015515,7413,0.0,0.0,0.298969072
3046514,7413,0.0,0.0,0.293814433
2006516,9689,0.0,0.0,0.288659794
1027516,9689,0.0,0.0,0.280927835
2035516,7413,0.0,0.0,0.280927835
3034514,7537,0.0,0.0,0.273195876
2024516,9689,0.0,0.0,0.268041237
2018516,9689,0.0,0.0,0.262886598
3044514,7413,0.0,0.0,0.257731959
2038516,7413,0.0,0.0,0.25257732
3015514,7413,0.0,0.0,0.24742268
3052514,7413,0.0,0.0,0.242268041
2012515,7413,0.0,0.0,0.237113402
2052516,7413,0.0,0.0,0.231958763
1009516,9689,0.0,0.0,0.226804124
3029514,7537,0.0,0.0,0.221649485
2010516,9689,0.0,0.0,0.216494845
2015515,7413,0.0,0.0,0.211340206
3028514,7537,0.0,0.0,0.206185567
3042514,7413,0.0,0.0,0.201030928
2006515,7413,0.0,0.0,0.195876289
2048516,7413,0.0,0.0,0.190721649
3038514,7537,0.0,0.0,0.18556701
2045516,9689,0.0,0.0,0.180412371
1018516,9689,0.0,0.0,0.175257732
2013515,7413,0.0,0.0,0.170103093
1027515,7413,0.0,0.0,0.164948454
3002514,7413,0.0,0.0,0.159793814
1012515,7537,0.0,0.0,0.154639175
2001514,7537,0.0,0.0,0.149484536
3047514,7413,0.0,0.0,0.144329897
3007514,7413,0.0,0.0,0.139175258
3063514,7413,0.0,0.0,0.134020619
2014515,7413,0.0,0.0,0.128865979
3020514,7413,0.0,0.0,0.12371134
3045514,7413,0.0,0.0,0.118556701
2011515,7413,0.0,0.0,0.113402062
2017516,9689,0.0,0.0,0.108247423
3011514,7413,0.0,0.0,0.100515464
3059514,7413,0.0,0.0,0.100515464
2042516,7413,0.0,0.0,0.092783505
1007515,7537,0.0,0.0,0.087628866
2050516,7413,0.0,0.0,0.082474227
3027514,7537,0.0,0.0,0.077319588
3051514,7413,0.0,0.0,0.072164948
1017515,7413,0.0,0.0,0.067010309
1023515,7413,0.0,0.0,0.06185567
3014514,7413,0.0,0.0,0.056701031
1019516,9689,0.0,0.0,0.051546392
2047516,7413,0.0,0.0,0.046391753
2046516,9689,0.0,0.0,0.041237113
2051516,7413,0.0,0.0,0.036082474
2030516,9689,0.0,0.0,0.030927835
2017515,7413,0.0,0.0,0.025773196
2034516,7413,0.0,0.0,0.020618557
2027516,9689,0.0,0.0,0.015463918
2018515,7413,0.0,0.0,0.010309278
2020516,9689,0.0,0.0,0.005154639
